time,error,integral,derivative,output,setpoint,measured_value,angle_x,angle_y,control_signal,speed
6.171,-12.49384,-7.670278,-8.60586,-80,0.0,12.49384,76.30331,12.49384,-80,3604
6.243,-12.52349,-7.795513,-7.477644,-80,0.0,12.52349,76.6527,12.52349,-80,3604
6.316,-12.79817,-7.923494,-11.47576,-80,0.0,12.79817,76.96619,12.79817,-80,3604
6.392,-12.76824,-8.051177,-8.581946,-80,0.0,12.76824,76.46179,12.76824,-80,3604
6.467,-12.74612,-8.178638,-6.42311,-80,0.0,12.74612,76.755,12.74612,-80,3604
6.597,-12.82869,-8.306926,-6.789985,-80,0.0,12.82869,76.98132,12.82869,-80,3604
6.668,-12.82089,-8.435135,-5.27589,-80,0.0,12.82089,77.51776,12.82089,-80,3604
6.741,-12.83806,-8.563516,-4.564149,-80,0.0,12.83806,77.59049,12.83806,-80,3604
6.855,-12.84785,-8.691994,-3.847109,-80,0.0,12.84785,77.60952,12.84785,-80,3604
6.907,-12.67417,-8.818735,0.3958809,-80,0.0,12.67417,77.94099,12.67417,-80,3604
6.957,-12.9572,-8.948307,-5.343963,-80,0.0,12.9572,78.07446,12.9572,-80,3604
7.009,-12.78805,-9.076187,-0.8920488,-80,0.0,12.78805,78.32614,12.78805,-80,3604
7.065,-13.11306,-9.207317,-7.213845,-80,0.0,13.11306,78.42712,13.11306,-80,3604
7.114,-13.36319,-9.340949,-10.77363,-80,0.0,13.36319,78.53391,13.36319,-80,3604
7.171,-13.30126,-9.473962,-7.380388,-80,0.0,13.30126,78.74266,13.30126,-80,3604
7.231,-13.48188,-9.608781,-9.516714,-80,0.0,13.48188,78.14926,13.48188,-80,3604
7.29,-13.047,-9.739251,1.08431,-80,0.0,13.047,78.35431,13.047,-80,3604
7.349,-12.95239,-9.868775,2.759557,-80,0.0,12.95239,78.74676,12.95239,-80,3604
7.407,-12.12197,-9.989995,18.8161,-80,0.0,12.12197,78.79683,12.12197,-80,3604
7.464,-11.70316,-10.10703,23.429,-80,0.0,11.70316,79.15235,11.70316,-80,3604
7.581,-12.35922,-10.23062,5.621975,-80,0.0,12.35922,79.03522,12.35922,-80,3604
7.639,-12.03051,-10.35092,11.07192,-80,0.0,12.03051,79.4766,12.03051,-80,3604
7.698,-11.93605,-10.47029,10.74665,-80,0.0,11.93605,79.68021,11.93605,-80,3604
7.756,-11.87286,-10.58901,9.861056,-80,0.0,11.87286,79.94984,11.87286,-80,3604
7.812,-11.59956,-10.70501,13.355,-80,0.0,11.59956,80.00138,11.59956,-80,3604
7.87,-11.24548,-10.81746,17.76545,-80,0.0,11.24548,79.88495,11.24548,-80,3604
7.928,-11.3606,-10.93107,11.90998,-80,0.0,11.3606,79.62309,11.3606,-80,3604
7.988,-11.22575,-11.04333,12.22496,-80,0.0,11.22575,79.36876,11.22575,-80,3604
8.049,-11.30941,-11.15642,8.10686,-80,0.0,11.30941,79.33853,11.30941,-80,3604
8.108,-10.45111,-11.26093,23.65149,-80,0.0,10.45111,79.4107,10.45111,-80,3604
8.172,-10.17143,-11.36265,24.51476,-80,0.0,10.17143,79.73467,10.17143,-80,3604
8.236,-9.638473,-11.45903,30.27097,-80,0.0,9.638473,80.08179,9.638473,-80,3604
8.298,-9.136009,-11.55039,34.26604,-80,0.0,9.136009,80.24652,9.136009,-80,3604
8.365,-8.553786,-11.63593,39.0573,-80,0.0,8.553786,80.74484,8.553786,-80,3604
8.43,-8.5428,-11.72136,31.46556,-80,0.0,8.5428,81.02792,8.5428,-80,3604
8.55,-8.232893,-11.80369,31.37059,-80,0.0,8.232893,81.11738,8.232893,-80,3604
8.619,-8.146021,-11.88515,26.83392,-80,0.0,8.146021,81.1985,8.146021,-80,3604
8.684,-8.353543,-11.96868,17.31668,-80,0.0,8.353543,81.01832,8.353543,-80,3604
8.752,-7.835733,-12.04704,24.20955,-80,0.0,7.835733,81.20476,7.835733,-80,3604
8.82,-7.645607,-12.1235,23.17015,-80,0.0,7.645607,81.40553,7.645607,-80,3604
8.884,-7.383603,-12.19733,23.77621,-80,0.0,7.383603,81.62945,7.383603,-80,3604
8.949,-6.924695,-12.26658,28.19912,-80,0.0,6.924695,81.86982,6.924695,-80,3604
9.013,-6.755145,-12.33413,25.95032,-80,0.0,6.755145,82.11943,6.755145,-80,3604
9.081,-6.163934,-12.39577,32.58447,-80,0.0,6.163934,82.59349,6.163934,-80,3604
9.147,-5.889853,-12.45467,31.5492,-80,0.0,5.889853,82.85866,5.889853,-80,3604
9.213,-5.650958,-12.51118,30.01725,-80,0.0,5.650958,83.00978,5.650958,-80,3604
9.287,-5.338686,-12.56457,30.25923,-80,0.0,5.338686,83.23086,5.338686,-80,3604
9.361,-4.665952,-12.61123,37.66208,-80,0.0,4.665952,83.45448,4.665952,-80,3604
9.43,-4.456116,-12.65579,34.32639,-80,0.0,4.456116,83.4668,4.456116,-80,3604
9.499,-4.453729,-12.70033,27.50885,-80,0.0,4.453729,82.62927,4.453729,-80,3604
9.622,-4.03388,-12.74066,30.40406,-80,0.0,4.03388,82.97753,4.03388,-80,3604
9.696,-3.6026,-12.77669,32.94884,-80,0.0,3.6026,83.40834,3.6026,-80,3604
9.767,-3.734901,-12.81404,23.71305,-80,0.0,3.734901,83.63248,3.734901,-80,3604
9.839,-4.053358,-12.85457,12.60131,-80,0.0,4.053358,83.60722,4.053358,-80,3604
9.908,-3.395356,-12.88853,23.24108,-80,0.0,3.395356,83.35468,3.395356,-80,3604
9.979,-3.095873,-12.91949,24.58252,-80,0.0,3.095873,83.39477,3.095873,-80,3604
10.051,-3.054813,-12.95003,20.48722,-80,0.0,3.054813,83.33201,3.054813,-80,3604
10.118,-2.753091,-12.97756,22.42423,-80,0.0,2.753091,83.5602,2.753091,-80,3604
10.188,-2.194962,-12.99951,29.10196,-80,0.0,2.194962,83.62981,2.194962,-80,3604
10.258,-1.959981,-13.01911,27.98119,-80,0.0,1.959981,83.58904,1.959981,-80,3604
10.373,-1.800872,-13.03712,25.56712,-80,0.0,1.800872,83.65266,1.800872,-80,3604
10.424,-1.489122,-13.05202,26.6887,-80,0.0,1.489122,83.72344,1.489122,-80,3604
10.483,-1.051291,-13.06253,30.10758,-80,0.0,1.051291,83.38767,1.051291,-80,3604
